Age,Author,Author_Info,Binding,Brand,Dimensions (L X B X H),Edition,Editor,Exam,Group,Image,Imprint,ISBN_10,ISBN_13,Language,Model,Name,Pages,Price,Product_Code_1,Product_Code_2,Publication_Month,Publication_Year,Publisher,Series_Name,Type,Unique_Id,University,Weight_Gram
,['Amit M Agarwal'],"An editorial team of highly skilled professionals at Arihant, works hand in glove to ensure that the students receive the best and accurate content through our books. From inception till the book comes out from print, the whole team comprising of authors, editors, proofreaders and various other involved in shaping the book put in their best efforts, knowledge and experience to produce the rigorous content the students receive. Keeping in mind the specific requirements of the students and various examinations, the carefully designed exam oriented and exam ready content comes out only after intensive research and analysis. The experts have adopted whole new style of presenting the content which is easily understandable, leaving behind the old traditional methods which once used to be the most effective. They have been developing the latest content & updates as per the needs and requirements of the students making our books a hallmark for quality and reliability for the past 15 years.",Paperback,Arihant Publications,,1,,JEE Main And Advanced,Academic & Professional,https://assetscdn.paytm.com/images/catalog/product/9/97/9789352031481_20439/0x1920/70/0.jpg,,9352031482,9789352031481,English,4671,Daily Practice Problems for Theory of Equations Complex Number,240,210,9789352031481_20439,7473745,,2015,Wiley India Pvt. Ltd.,,Bestseller Books,a71b77ad410561fbed9f31b5313cbde6,,500
9 - 12 Years,['Jacqueline Wilson'],,Paperback,,,,,,Academic & Professional,https://assetscdn.paytm.com/images/catalog/product/9/97/9780552553520_21345/0x1920/70/0.jpg,Corgi Childrens,552553522,9780552553520,English,439730,Love Lessons,272,325,9780552553520_21345,51083750,,2006,Corgi Childrens,,Bestseller Books,5ff366dfa3f6a2b397975acf37367d6b,,200
,['Paul Tough'],,Paperback,Random House,,,,,Academic & Professional,https://assetscdn.paytm.com/images/catalog/product/9/97/9780099588757_23843/0x1920/70/0.jpg,Arrow,99588757,9780099588757,English,4244,How Children Succeed,256,399,9780099588757_23843,8381600,April,2014,PARRAGON PUBLISHING,,Bestseller Books,e764d688d36c26fba65d90cd0bfcd513,,272
,['Amit M Agarwal'],"An editorial team of highly skilled professionals at Arihant, works hand in glove to ensure that the students receive the best and accurate content through our books. From inception till the book comes out from print, the whole team comprising of authors, editors, proofreaders and various other involved in shaping the book put in their best efforts, knowledge and experience to produce the rigorous content the students receive. Keeping in mind the specific requirements of the students and various examinations, the carefully designed exam oriented and exam ready content comes out only after intensive research and analysis. The experts have adopted whole new style of presenting the content which is easily understandable, leaving behind the old traditional methods which once used to be the most effective. They have been developing the latest content & updates as per the needs and requirements of the students making our books a hallmark for quality and reliability for the past 15 years.",Paperback,Arihant,,1,,JEE Main And Advanced,Academic & Professional,https://assetscdn.paytm.com/images/catalog/product/9/97/9789352031733_23843/0x1920/70/0.jpg,,9352031733,9789352031733,English,4665,Daily Practice Problems for Permutations - Combinations And Probability (Mathematics Volume-2),216,210,9789352031733_23843,26421238,,2015,Wiley India Pvt. Ltd.,,Bestseller Books,718e800b861b13b3d272803d5177451d,,500
,['D.B. Singh'],"An editorial team of highly skilled professionals at Arihant, works hand in glove to ensure that the students receive the best and accurate content through our books. From inception till the book comes out from print, the whole team comprising of authors, editors, proofreaders and various other involved in shaping the book put in their best efforts, knowledge and experience to produce the rigorous content the students receive. Keeping in mind the specific requirements of the students and various examinations, the carefully designed exam oriented and exam ready content comes out only after intensive research and analysis. The experts have adopted whole new style of presenting the content which is easily understandable, leaving behind the old traditional methods which once used to be the most effective. They have been developing the latest content & updates as per the needs and requirements of the students making our books a hallmark for quality and reliability for the past 15 years.",Paperback,Arihant Publications,,1,,JEE Main And Advanced,Academic & Professional,https://assetscdn.paytm.com/images/catalog/product/9/97/9789352031726_20439/0x1920/70/0.jpg,,9352031725,9789352031726,English,4671,Daily Practice Problems for Laws of Motion Work Power,348,250,9789352031726_20439,7473743,,2015,Wiley India Pvt. Ltd.,,Bestseller Books,c8ade9ab62a014c179cf1361cdae7a91,,500
,['Ranjeet Shahi'],"An editorial team of highly skilled professionals at Arihant, works hand in glove to ensure that the students receive the best and accurate content through our books. From inception till the book comes out from print, the whole team comprising of authors, editors, proofreaders and various other involved in shaping the book put in their best efforts, knowledge and experience to produce the rigorous content the students receive. Keeping in mind the specific requirements of the students and various examinations, the carefully designed exam oriented and exam ready content comes out only after intensive research and analysis. The experts have adopted whole new style of presenting the content which is easily understandable, leaving behind the old traditional methods which once used to be the most effective. They have been developing the latest content & updates as per the needs and requirements of the students making our books a hallmark for quality and reliability for the past 15 years.",Paperback,Arihant,,1,,JEE Main And Advanced,Academic & Professional,https://assetscdn.paytm.com/images/catalog/product/9/97/9789352031740_23843/0x1920/70/0.jpg,,9352031741,9789352031740,English,4665,Daily Practice Problems for General Organic Chemistry And Hydrocarbons (Chemistry Volume-4),316,250,9789352031740_23843,26421237,,2015,Wiley India Pvt. Ltd.,,Bestseller Books,7dc1b3b9c4947d8d80cbd9cf5c553849,,500
,['R.K. Gupta'],"An editorial team of highly skilled professionals at Arihant, works hand in glove to ensure that the students receive the best and accurate content through our books. From inception till the book comes out from print, the whole team comprising of authors, editors, proofreaders and various other involved in shaping the book put in their best efforts, knowledge and experience to produce the rigorous content the students receive. Keeping in mind the specific requirements of the students and various examinations, the carefully designed exam oriented and exam ready content comes out only after intensive research and analysis. The experts have adopted whole new style of presenting the content which is easily understandable, leaving behind the old traditional methods which once used to be the most effective. They have been developing the latest content & updates as per the needs and requirements of the students making our books a hallmark for quality and reliability for the past 15 years.",Paperback,Arihant Publications,,1,,JEE Main And Advanced,Academic & Professional,https://assetscdn.paytm.com/images/catalog/product/9/97/9789352031474_20439/0x1920/70/0.jpg,,9352031474,9789352031474,English,4671,Daily Practice Problems for Atomic Structure,228,210,9789352031474_20439,7473740,,2015,Wiley India Pvt. Ltd.,,Bestseller Books,9cfb013a5746b567d4cce561df53283c,,500
,['Peterson Gretchen N'],,Hardcover,CRC Press,,,,,Academic & Professional,https://assetscdn.paytm.com/images/catalog/product/9/97/9781482220674_69888/0x1920/70/0.jpg,,1482220679,9781482220674,English,3879,Gis Cartography: A Guide To Effective Map Design,317,6751,9781482220674_69888,16327626,,,CRC Press,,Bestseller Books,62068c386789713bdad84620637debcb,,500
,['Andrei D. Polyanin'],,Hardcover,CRC-CH,,1,,,Academic & Professional,https://assetscdn.paytm.com/images/catalog/product/9/97/9781584882992_191287/0x1920/70/0.jpg,,1584882999,9781584882992,Others,12985,Handbook of Linear Partial Differential Equations for Engineers and Scientists,800,2995,9781584882992_191287,38822917,,2001,CRC-CH,,Bestseller Books,fce2da930afdb6f8bb0530e62ccff2c6,,1610
,['Barbara De Angelis'],,Paperback,Harper Collins Publishers India,,2,,,Biographies & Auto Biographies,https://assetscdn.paytm.com/images/catalog/product/9/97/9780722532980_225808/0x1920/70/0.jpg,Element,722532989,9780722532980,English,5789,Are You The One For Me?,368,399,9780722532980_225808,44858319,,2013,Harper Collins Publishers India,,Bestseller Books,9a5a2e2b018d5b77b3bb5163772d00c7,,264
